species	genes
actinidia_chinensis	32460
aegilops_tauschii	38271
amborella_trichopoda	21549
ananas_comosus	22358
arabidopsis_halleri	30603
arabidopsis_lyrata	30528
arabidopsis_thaliana	26358
asparagus_officinalis	19998
beta_vulgaris	20836
brachypodium_distachyon	28577
brassica_napus	94723
brassica_oleracea	57334
brassica_rapa_ro18	41207
caenorhabditis_elegans	13337
camelina_sativa	82179
cannabis_sativa_female	23897
capsicum_annuum	34389
chara_braunii	30436
chenopodium_quinoa	33474
chlamydomonas_reinhardtii	12202
chondrus_crispus	5778
ciona_savignyi	8155
citrullus_lanatus	19715
citrus_clementina	23479
coffea_canephora	23643
corchorus_capsularis	21799
corylus_avellana	24838
corymbia_citriodora	33930
cucumis_melo	23940
cucumis_sativus	20740
cyanidioschyzon_merolae	3562
daucus_carota	29268
dioscorea_rotundata	27945
drosophila_melanogaster	10024
eragrostis_curvula	50254
eragrostis_tef	38739
eucalyptus_grandis	32687
ficus_carica	29216
galdieria_sulphuraria	4996
glycine_max	51385
gossypium_raimondii	35971
helianthus_annuus	58007
homo_sapiens	12059
hordeum_vulgare	35209
ipomoea_triloba	29207
juglans_regia	39899
lactuca_sativa	34386
leersia_perrieri	26001
lupinus_angustifolius	31797
malus_domestica_golden	37156
manihot_esculenta	29582
marchantia_polymorpha	13736
medicago_truncatula	41732
musa_acuminata	31745
nicotiana_attenuata	20110
nymphaea_colorata	24150
olea_europaea	49679
oryza_barthii	32886
oryza_brachyantha	25928
oryza_glaberrima	32254
oryza_glumipatula	33389
oryza_indica	38128
oryza_longistaminata	28991
oryza_meridionalis	26725
oryza_nivara	34437
oryza_punctata	28498
oryza_rufipogon	35084
oryza_sativa	31437
panicum_hallii	28832
papaver_somniferum	36149
phaseolus_vulgaris	27099
physcomitrium_patens	23371
pistacia_vera	30357
populus_trichocarpa	36931
prunus_dulcis	26236
prunus_persica	24894
rosa_chinensis	37712
saccharomyces_cerevisiae	3970
secale_cereale	34382
selaginella_moellendorffii	33275
sesamum_indicum	23333
setaria_italica	30587
setaria_viridis	32661
solanum_lycopersicum	29555
solanum_tuberosum	35400
sorghum_bicolor	29420
theobroma_cacao	25298
trifolium_pratense	35903
triticum_aestivum	107023
triticum_dicoccoides	60322
triticum_turgidum	65963
triticum_urartu	35062
vigna_angularis	31084
vigna_radiata	21377
vitis_vinifera	30673
zea_mays	36182
